pregunta,respuesta,categoria,nivel_alerta
no me siento bien en mi familia,no tienes que enfrentar esto solo,problemas_familiares,medio
todo me sale mal en el colegio,no tienes que pasar por esto solo,emocional_moderado,medio
tengo ansiedad en el colegio,puedes intentar respirar profundamente,ansiedad,medio
hay conflictos en mi hogar,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
no quiero vivir en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
buenas noches ahora,en que puedo ayudarte hoy,saludo,bajo
quiero rendirme,puedes comenzar con pequeñas metas,motivacion,medio
hay conflictos en mi hogar en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
no quiero hablar con nadie hoy,no tienes que pasar por esto solo,emocional_moderado,medio
hola,estoy aqui para escucharte,saludo,bajo
me siento desanimado ahora,puedes contarme que paso,emocional_leve,bajo
quiero hablar con psicologia ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero ir al colegio,no estas solo puedes recibir apoyo,motivacion,medio
tengo muchos examenes ultimamente,puedes pedir ayuda a tus profesores,estres_academico,medio
todo me sale mal ahora,puedes buscar apoyo emocional,emocional_moderado,medio
tengo muchas tareas ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
no quiero hablar con nadie en mi casa,puedes buscar apoyo emocional,emocional_moderado,medio
me siento muy mal,seria bueno hablar con el area psicologica,emocional_moderado,medio
no tengo motivacion en el colegio,podemos buscar soluciones juntos,motivacion,medio
buenas noches en mi casa,hola estoy aqui para ayudarte,saludo,bajo
quiero rendirme ultimamente,puedes comenzar con pequeñas metas,motivacion,medio
no quiero vivir,busca ayuda urgente con un adulto de confianza,emergencia,critico
ando sin animos en mi casa,no estas solo puedes hablar conmigo,emocional_leve,bajo
hola ultimamente,hola estoy aqui para ayudarte,saludo,bajo
no entiendo mis materias ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
no me siento bien en mi familia ultimamente,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero hacerme daño en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
no quiero vivir en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
no quiero ir al colegio ultimamente,podemos buscar soluciones juntos,motivacion,medio
quiero hablar con psicologia hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento muy mal ahora,puedes buscar apoyo emocional,emocional_moderado,medio
me siento raro ahora,hablar puede ayudarte mucho,emocional_leve,bajo
hola en mi casa,puedes contar conmigo,saludo,bajo
ando sin animos hoy,puedes contarme que paso,emocional_leve,bajo
no puedo dormir hoy,puedes intentar respirar profundamente,ansiedad,medio
necesito ayuda profesional,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento presionado por el colegio en el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
quiero hablar con psicologia hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
hola chatbot en mi casa,puedes contar conmigo,saludo,bajo
no quiero ir al colegio en el colegio,podemos buscar soluciones juntos,motivacion,medio
quiero apoyo emocional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no quiero estudiar ultimamente,puedes comenzar con pequeñas metas,motivacion,medio
me preocupo demasiado ultimamente,puedes acudir al area psicologica,ansiedad,medio
me siento vacio ultimamente,puedes buscar apoyo emocional,emocional_moderado,medio
no tengo ganas de hacer nada en el colegio,seria bueno hablar con el area psicologica,emocional_moderado,medio
necesito ayuda profesional ultimamente,el area psicologica puede ayudarte,apoyo_psicologico,alto
hay conflictos en mi hogar ultimamente,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
hola chatbot en el colegio,hola estoy aqui para ayudarte,saludo,bajo
tengo muchas tareas hoy,podemos buscar soluciones juntos,estres_academico,medio
siento miedo sin razon en mi casa,hablar con alguien puede ayudarte,ansiedad,medio
todo me sale mal,puedes buscar apoyo emocional,emocional_moderado,medio
no me siento bien en mi familia en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
buenos dias ultimamente,en que puedo ayudarte hoy,saludo,bajo
necesito ayuda profesional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento vacio en mi casa,seria bueno hablar con el area psicologica,emocional_moderado,medio
me siento muy mal ahora,no tienes que pasar por esto solo,emocional_moderado,medio
no me siento bien en mi familia hoy,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
buenas tardes ultimamente,en que puedo ayudarte hoy,saludo,bajo
me siento solo hoy,no estas solo puedes hablar conmigo,emocional_leve,bajo
no puedo dormir hoy,puedes intentar respirar profundamente,ansiedad,medio
me siento raro,no estas solo puedes hablar conmigo,emocional_leve,bajo
no quiero hablar con nadie,no tienes que pasar por esto solo,emocional_moderado,medio
quiero apoyo emocional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
me siento raro ultimamente,hablar puede ayudarte mucho,emocional_leve,bajo
que tal en el colegio,estoy aqui para escucharte,saludo,bajo
buenas noches ultimamente,puedes contar conmigo,saludo,bajo
no me siento bien en mi familia ahora,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero desaparecer ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
me siento solo ultimamente,no estas solo puedes hablar conmigo,emocional_leve,bajo
necesito ayuda profesional hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero estudiar en mi casa,podemos buscar soluciones juntos,motivacion,medio
tengo ansiedad en el colegio,hablar con alguien puede ayudarte,ansiedad,medio
quiero rendirme ultimamente,no estas solo puedes recibir apoyo,motivacion,medio
ando sin animos ahora,hablar puede ayudarte mucho,emocional_leve,bajo
me siento solo ahora,puedes contarme que paso,emocional_leve,bajo
hay conflictos en mi hogar en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
tengo miedo de reprobar en el colegio,puedes pedir ayuda a tus profesores,estres_academico,medio
quiero hacerme daño,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero desaparecer hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
ando sin animos ultimamente,no estas solo puedes hablar conmigo,emocional_leve,bajo
no tengo motivacion,puedes comenzar con pequeñas metas,motivacion,medio
no tengo motivacion en el colegio,puedes comenzar con pequeñas metas,motivacion,medio
me siento nervioso ultimamente,hablar con alguien puede ayudarte,ansiedad,medio
no estoy bien hoy en mi casa,puedes contarme que paso,emocional_leve,bajo
no quiero estudiar en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
no me siento bien en mi familia en mi casa,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
me siento presionado por el colegio ahora,puedes organizar mejor tu tiempo,estres_academico,medio
quiero desaparecer en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
tengo problemas en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero hacerme daño hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
no me siento bien en mi familia en el colegio,no tienes que enfrentar esto solo,problemas_familiares,medio
quiero hablar con psicologia en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
necesito ayuda profesional,el area psicologica puede ayudarte,apoyo_psicologico,alto
mis padres discuten mucho en el colegio,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
me siento raro,quieres contarme un poco mas,emocional_leve,bajo
necesito ayuda profesional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento solo ultimamente,puedes contarme que paso,emocional_leve,bajo
buenos dias ahora,en que puedo ayudarte hoy,saludo,bajo
quiero apoyo emocional en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
tengo miedo de reprobar en mi casa,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento presionado por el colegio en el colegio,puedes pedir ayuda a tus profesores,estres_academico,medio
me siento solo hoy,hablar puede ayudarte mucho,emocional_leve,bajo
quiero rendirme en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
no puedo dormir hoy,puedes intentar respirar profundamente,ansiedad,medio
hay conflictos en mi hogar en mi casa,no tienes que enfrentar esto solo,problemas_familiares,medio
no quiero hablar con nadie,no tienes que pasar por esto solo,emocional_moderado,medio
me preocupo demasiado en el colegio,hablar con alguien puede ayudarte,ansiedad,medio
quiero hablar con psicologia en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
hola ultimamente,estoy aqui para escucharte,saludo,bajo
ando sin animos hoy,puedes contarme que paso,emocional_leve,bajo
tengo problemas en mi casa hoy,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
hola,puedes contar conmigo,saludo,bajo
me siento nervioso en el colegio,puedes intentar respirar profundamente,ansiedad,medio
quiero apoyo emocional en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
tengo muchas tareas ultimamente,podemos buscar soluciones juntos,estres_academico,medio
quiero rendirme en el colegio,podemos buscar soluciones juntos,motivacion,medio
tengo muchas tareas en mi casa,podemos buscar soluciones juntos,estres_academico,medio
quiero desaparecer,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero hablar con psicologia hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento desanimado,hablar puede ayudarte mucho,emocional_leve,bajo
tengo muchos examenes hoy,puedes pedir ayuda a tus profesores,estres_academico,medio
como estas en mi casa,estoy aqui para escucharte,saludo,bajo
tengo problemas en mi casa hoy,no tienes que enfrentar esto solo,problemas_familiares,medio
buenas tardes ahora,hola estoy aqui para ayudarte,saludo,bajo
no estoy bien hoy,quieres contarme un poco mas,emocional_leve,bajo
no quiero vivir en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
me siento solo,hablar puede ayudarte mucho,emocional_leve,bajo
no quiero vivir en mi casa,es importante hablar inmediatamente con psicologia,emergencia,critico
quiero desaparecer hoy,es importante hablar inmediatamente con psicologia,emergencia,critico
tengo problemas en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
quiero hacerme daño hoy,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero rendirme,podemos buscar soluciones juntos,motivacion,medio
quiero desaparecer en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
no quiero hablar con nadie en mi casa,no tienes que pasar por esto solo,emocional_moderado,medio
que tal ultimamente,puedes contar conmigo,saludo,bajo
quiero apoyo emocional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
necesito ayuda profesional en el colegio,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no quiero hablar con nadie ahora,puedes buscar apoyo emocional,emocional_moderado,medio
buenos dias en mi casa,en que puedo ayudarte hoy,saludo,bajo
tengo problemas en mi casa en el colegio,no tienes que enfrentar esto solo,problemas_familiares,medio
no estoy bien hoy ultimamente,puedes contarme que paso,emocional_leve,bajo
quiero apoyo emocional en el colegio,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento desanimado ahora,hablar puede ayudarte mucho,emocional_leve,bajo
necesito ayuda profesional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento vacio hoy,puedes buscar apoyo emocional,emocional_moderado,medio
me siento solo ahora,no estas solo puedes hablar conmigo,emocional_leve,bajo
no tengo ganas de hacer nada en el colegio,puedes buscar apoyo emocional,emocional_moderado,medio
me siento presionado por el colegio ahora,puedes organizar mejor tu tiempo,estres_academico,medio
mis padres discuten mucho ahora,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
quiero apoyo emocional hoy,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero hablar con psicologia ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
hay conflictos en mi hogar hoy,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
quiero apoyo emocional ultimamente,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no me siento bien en mi familia en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
no quiero ir al colegio en mi casa,podemos buscar soluciones juntos,motivacion,medio
me siento raro ahora,puedes contarme que paso,emocional_leve,bajo
mis padres discuten mucho ultimamente,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
hola chatbot ahora,hola estoy aqui para ayudarte,saludo,bajo
todo me sale mal ahora,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero hablar con psicologia en mi casa,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me preocupo demasiado en el colegio,hablar con alguien puede ayudarte,ansiedad,medio
quiero hacerme daño en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
me siento nervioso,puedes intentar respirar profundamente,ansiedad,medio
tengo ansiedad ultimamente,puedes acudir al area psicologica,ansiedad,medio
quiero apoyo emocional en el colegio,el area psicologica puede ayudarte,apoyo_psicologico,alto
hola en mi casa,estoy aqui para escucharte,saludo,bajo
me siento presionado por el colegio ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
quiero hacerme daño,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero apoyo emocional ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
necesito ayuda profesional,el area psicologica puede ayudarte,apoyo_psicologico,alto
hay conflictos en mi hogar hoy,no tienes que enfrentar esto solo,problemas_familiares,medio
me siento muy mal en el colegio,no tienes que pasar por esto solo,emocional_moderado,medio
no me siento bien en mi familia ahora,no tienes que enfrentar esto solo,problemas_familiares,medio
siento miedo sin razon en mi casa,puedes intentar respirar profundamente,ansiedad,medio
quiero apoyo emocional ahora,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
quiero hablar con psicologia ahora,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero rendirme en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
me siento desanimado en mi casa,puedes contarme que paso,emocional_leve,bajo
tengo miedo de reprobar ultimamente,puedes pedir ayuda a tus profesores,estres_academico,medio
no quiero ir al colegio,podemos buscar soluciones juntos,motivacion,medio
quiero desaparecer,es importante hablar inmediatamente con psicologia,emergencia,critico
todo me sale mal ultimamente,puedes buscar apoyo emocional,emocional_moderado,medio
necesito ayuda profesional en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero ir al colegio en el colegio,podemos buscar soluciones juntos,motivacion,medio
me siento triste ahora,no estas solo puedes hablar conmigo,emocional_leve,bajo
no entiendo mis materias ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
no quiero estudiar en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
quiero hablar con psicologia en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
quiero hablar con psicologia,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero ir al colegio ultimamente,puedes comenzar con pequeñas metas,motivacion,medio
tengo miedo de reprobar ahora,puedes organizar mejor tu tiempo,estres_academico,medio
no quiero estudiar en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
mis padres discuten mucho en mi casa,puedes buscar apoyo con un adulto de confianza,problemas_familiares,medio
no tengo ganas de hacer nada en el colegio,seria bueno hablar con el area psicologica,emocional_moderado,medio
me siento vacio,no tienes que pasar por esto solo,emocional_moderado,medio
no entiendo mis materias,puedes pedir ayuda a tus profesores,estres_academico,medio
mis padres discuten mucho ahora,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
me siento solo ultimamente,quieres contarme un poco mas,emocional_leve,bajo
tengo muchos examenes en mi casa,puedes organizar mejor tu tiempo,estres_academico,medio
no me siento bien en mi familia en el colegio,no tienes que enfrentar esto solo,problemas_familiares,medio
ando sin animos,quieres contarme un poco mas,emocional_leve,bajo
hay conflictos en mi hogar en mi casa,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
hola chatbot,hola estoy aqui para ayudarte,saludo,bajo
tengo miedo de reprobar en el colegio,podemos buscar soluciones juntos,estres_academico,medio
quiero apoyo emocional ahora,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento vacio,seria bueno hablar con el area psicologica,emocional_moderado,medio
me siento muy mal hoy,no tienes que pasar por esto solo,emocional_moderado,medio
me siento nervioso,puedes intentar respirar profundamente,ansiedad,medio
quiero desaparecer en mi casa,busca ayuda urgente con un adulto de confianza,emergencia,critico
todo me sale mal en mi casa,seria bueno hablar con el area psicologica,emocional_moderado,medio
me siento nervioso en mi casa,puedes acudir al area psicologica,ansiedad,medio
no quiero estudiar en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
no tengo ganas de hacer nada,no tienes que pasar por esto solo,emocional_moderado,medio
me siento presionado por el colegio en mi casa,puedes organizar mejor tu tiempo,estres_academico,medio
no quiero estudiar en el colegio,puedes comenzar con pequeñas metas,motivacion,medio
necesito ayuda profesional,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
no entiendo mis materias,puedes pedir ayuda a tus profesores,estres_academico,medio
quiero hacerme daño ultimamente,es importante hablar inmediatamente con psicologia,emergencia,critico
no quiero ir al colegio en mi casa,puedes comenzar con pequeñas metas,motivacion,medio
no quiero ir al colegio ultimamente,no estas solo puedes recibir apoyo,motivacion,medio
no entiendo mis materias hoy,puedes organizar mejor tu tiempo,estres_academico,medio
me siento nervioso,puedes acudir al area psicologica,ansiedad,medio
me siento nervioso,hablar con alguien puede ayudarte,ansiedad,medio
tengo ansiedad hoy,hablar con alguien puede ayudarte,ansiedad,medio
no tengo motivacion en el colegio,podemos buscar soluciones juntos,motivacion,medio
quiero hacerme daño en el colegio,es importante hablar inmediatamente con psicologia,emergencia,critico
necesito ayuda profesional ahora,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
buenos dias ahora,en que puedo ayudarte hoy,saludo,bajo
no entiendo mis materias en el colegio,puedes organizar mejor tu tiempo,estres_academico,medio
no me siento bien en mi familia ahora,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
quiero desaparecer hoy,busca ayuda urgente con un adulto de confianza,emergencia,critico
no quiero estudiar ahora,puedes comenzar con pequeñas metas,motivacion,medio
quiero hacerme daño ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
me preocupo demasiado en mi casa,puedes intentar respirar profundamente,ansiedad,medio
tengo muchos examenes en el colegio,podemos buscar soluciones juntos,estres_academico,medio
no entiendo mis materias,puedes organizar mejor tu tiempo,estres_academico,medio
me siento desanimado ultimamente,quieres contarme un poco mas,emocional_leve,bajo
buenos dias en mi casa,en que puedo ayudarte hoy,saludo,bajo
me preocupo demasiado,puedes intentar respirar profundamente,ansiedad,medio
no tengo motivacion hoy,no estas solo puedes recibir apoyo,motivacion,medio
no quiero ir al colegio ultimamente,podemos buscar soluciones juntos,motivacion,medio
me preocupo demasiado ultimamente,hablar con alguien puede ayudarte,ansiedad,medio
necesito ayuda profesional en mi casa,el area psicologica puede ayudarte,apoyo_psicologico,alto
no quiero estudiar en el colegio,no estas solo puedes recibir apoyo,motivacion,medio
no puedo dormir en el colegio,puedes intentar respirar profundamente,ansiedad,medio
quiero hablar con psicologia,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento presionado por el colegio hoy,podemos buscar soluciones juntos,estres_academico,medio
no puedo dormir hoy,hablar con alguien puede ayudarte,ansiedad,medio
me siento desanimado,quieres contarme un poco mas,emocional_leve,bajo
no quiero vivir ultimamente,busca ayuda urgente con un adulto de confianza,emergencia,critico
quiero rendirme ahora,podemos buscar soluciones juntos,motivacion,medio
quiero hablar con psicologia hoy,el area psicologica puede ayudarte,apoyo_psicologico,alto
tengo miedo de reprobar ahora,puedes pedir ayuda a tus profesores,estres_academico,medio
necesito ayuda profesional ahora,puedes acudir al area psicologica del colegio,apoyo_psicologico,alto
me siento triste en mi casa,no estas solo puedes hablar conmigo,emocional_leve,bajo
como estas en mi casa,hola estoy aqui para ayudarte,saludo,bajo
tengo muchos examenes en mi casa,puedes organizar mejor tu tiempo,estres_academico,medio
hay conflictos en mi hogar,puedes hablar con el area psicologica del colegio,problemas_familiares,medio
hola chatbot en mi casa,en que puedo ayudarte hoy,saludo,bajo
no quiero hablar con nadie en mi casa,seria bueno hablar con el area psicologica,emocional_moderado,medio
quiero rendirme,podemos buscar soluciones juntos,motivacion,medio
