id,pregunta,categoria,intencion,emocion_detectada,nivel_alerta,respuesta,recomendacion,pregunta_seguimiento,respuesta_final,tecnica_apoyo,contexto,requiere_derivacion,prioridad_atencion,accion_sistema
801,no puedo concentrarme porque pienso en muchas cosas,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Concentrarse puede ser difícil cuando hay presión o distracciones constantes.,Empieza con la parte más fácil para activar el avance.,¿Cuánto tiempo puedes concentrarte antes de distraerte?,"Concentrarse puede ser difícil cuando hay presión o distracciones constantes.

Recomendación: Empieza con la parte más fácil para activar el avance.

¿Cuánto tiempo puedes concentrarte antes de distraerte?",microtareas,academico,NO,BAJA,Responder y continuar conversación
802,hoy no puedo concentrarme porque pienso en muchas cosas,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.,Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.,"¿Qué te distrae más: celular, ruido, pensamientos o cansancio?","Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.

Recomendación: Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.

¿Qué te distrae más: celular, ruido, pensamientos o cansancio?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
803,ultimamente no puedo concentrarme porque pienso en muchas cosas,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"Si miras todo como una tarea enorme, es normal que cueste empezar.",Quita distracciones cercanas y deja solo lo necesario para esa tarea.,¿Quieres que te ayude a dividir una tarea en pasos?,"Si miras todo como una tarea enorme, es normal que cueste empezar.

Recomendación: Quita distracciones cercanas y deja solo lo necesario para esa tarea.

¿Quieres que te ayude a dividir una tarea en pasos?",microtareas,academico,NO,BAJA,Responder y continuar conversación
804,no puedo concentrarme porque pienso en muchas cosas y necesito ayuda,concentracion,apoyo_concentracion,ESTRESADO,BAJA,La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.,"Haz una lista breve: primero leer, luego subrayar, después resumir.",¿Qué tarea específica necesitas avanzar hoy?,"La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.

Recomendación: Haz una lista breve: primero leer, luego subrayar, después resumir.

¿Qué tarea específica necesitas avanzar hoy?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
805,no puedo concentrarme porque pienso en muchas cosas puedes ayudarme,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.",Pon el celular lejos durante un bloque corto de estudio.,¿Qué materia estás intentando estudiar?,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.

Recomendación: Pon el celular lejos durante un bloque corto de estudio.

¿Qué materia estás intentando estudiar?",microtareas,academico,NO,BAJA,Responder y continuar conversación
806,no puedo concentrarme con tareas largas,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.,Empieza con la parte más fácil para activar el avance.,¿Cuánto tiempo puedes concentrarte antes de distraerte?,"Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.

Recomendación: Empieza con la parte más fácil para activar el avance.

¿Cuánto tiempo puedes concentrarte antes de distraerte?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
807,hoy no puedo concentrarme con tareas largas,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Concentrarse puede ser difícil cuando hay presión o distracciones constantes.,Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.,¿Te cuesta empezar o te cuesta mantener la concentración?,"Concentrarse puede ser difícil cuando hay presión o distracciones constantes.

Recomendación: Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.

¿Te cuesta empezar o te cuesta mantener la concentración?",microtareas,academico,NO,BAJA,Responder y continuar conversación
808,ultimamente no puedo concentrarme con tareas largas,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.,Quita distracciones cercanas y deja solo lo necesario para esa tarea.,¿Quieres que te ayude a dividir una tarea en pasos?,"Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.

Recomendación: Quita distracciones cercanas y deja solo lo necesario para esa tarea.

¿Quieres que te ayude a dividir una tarea en pasos?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
809,no puedo concentrarme con tareas largas y necesito ayuda,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"Si miras todo como una tarea enorme, es normal que cueste empezar.","Haz una lista breve: primero leer, luego subrayar, después resumir.",¿Qué tarea específica necesitas avanzar hoy?,"Si miras todo como una tarea enorme, es normal que cueste empezar.

Recomendación: Haz una lista breve: primero leer, luego subrayar, después resumir.

¿Qué tarea específica necesitas avanzar hoy?",microtareas,academico,NO,BAJA,Responder y continuar conversación
810,no puedo concentrarme con tareas largas puedes ayudarme,concentracion,apoyo_concentracion,ESTRESADO,BAJA,La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.,Usa descansos cortos para no saturarte.,"¿Qué te distrae más: celular, ruido, pensamientos o cansancio?","La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.

Recomendación: Usa descansos cortos para no saturarte.

¿Qué te distrae más: celular, ruido, pensamientos o cansancio?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
811,no puedo concentrarme cuando estoy cansado,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.",Empieza con la parte más fácil para activar el avance.,¿Cuánto tiempo puedes concentrarte antes de distraerte?,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.

Recomendación: Empieza con la parte más fácil para activar el avance.

¿Cuánto tiempo puedes concentrarte antes de distraerte?",microtareas,academico,NO,BAJA,Responder y continuar conversación
812,hoy no puedo concentrarme cuando estoy cansado,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.,Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.,¿Te cuesta empezar o te cuesta mantener la concentración?,"Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.

Recomendación: Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.

¿Te cuesta empezar o te cuesta mantener la concentración?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
813,ultimamente no puedo concentrarme cuando estoy cansado,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Concentrarse puede ser difícil cuando hay presión o distracciones constantes.,Quita distracciones cercanas y deja solo lo necesario para esa tarea.,¿Qué materia estás intentando estudiar?,"Concentrarse puede ser difícil cuando hay presión o distracciones constantes.

Recomendación: Quita distracciones cercanas y deja solo lo necesario para esa tarea.

¿Qué materia estás intentando estudiar?",microtareas,academico,NO,BAJA,Responder y continuar conversación
814,no puedo concentrarme cuando estoy cansado y necesito ayuda,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.,"Haz una lista breve: primero leer, luego subrayar, después resumir.",¿Qué tarea específica necesitas avanzar hoy?,"Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.

Recomendación: Haz una lista breve: primero leer, luego subrayar, después resumir.

¿Qué tarea específica necesitas avanzar hoy?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
815,no puedo concentrarme cuando estoy cansado puedes ayudarme,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"Si miras todo como una tarea enorme, es normal que cueste empezar.",Usa descansos cortos para no saturarte.,"¿Qué te distrae más: celular, ruido, pensamientos o cansancio?","Si miras todo como una tarea enorme, es normal que cueste empezar.

Recomendación: Usa descansos cortos para no saturarte.

¿Qué te distrae más: celular, ruido, pensamientos o cansancio?",microtareas,academico,NO,BAJA,Responder y continuar conversación
816,me distraigo mucho,concentracion,apoyo_concentracion,ESTRESADO,BAJA,La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.,Pon el celular lejos durante un bloque corto de estudio.,¿Quieres que te ayude a dividir una tarea en pasos?,"La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.

Recomendación: Pon el celular lejos durante un bloque corto de estudio.

¿Quieres que te ayude a dividir una tarea en pasos?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
817,hoy me distraigo mucho,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.",Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.,¿Te cuesta empezar o te cuesta mantener la concentración?,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.

Recomendación: Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.

¿Te cuesta empezar o te cuesta mantener la concentración?",microtareas,academico,NO,BAJA,Responder y continuar conversación
818,ultimamente me distraigo mucho,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.,Quita distracciones cercanas y deja solo lo necesario para esa tarea.,¿Qué materia estás intentando estudiar?,"Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.

Recomendación: Quita distracciones cercanas y deja solo lo necesario para esa tarea.

¿Qué materia estás intentando estudiar?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
819,me distraigo mucho y necesito ayuda,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Concentrarse puede ser difícil cuando hay presión o distracciones constantes.,"Haz una lista breve: primero leer, luego subrayar, después resumir.",¿Cuánto tiempo puedes concentrarte antes de distraerte?,"Concentrarse puede ser difícil cuando hay presión o distracciones constantes.

Recomendación: Haz una lista breve: primero leer, luego subrayar, después resumir.

¿Cuánto tiempo puedes concentrarte antes de distraerte?",microtareas,academico,NO,BAJA,Responder y continuar conversación
820,me distraigo mucho puedes ayudarme,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.,Usa descansos cortos para no saturarte.,"¿Qué te distrae más: celular, ruido, pensamientos o cansancio?","Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.

Recomendación: Usa descansos cortos para no saturarte.

¿Qué te distrae más: celular, ruido, pensamientos o cansancio?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
821,me distraigo mucho cuando estudio,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"Si miras todo como una tarea enorme, es normal que cueste empezar.",Pon el celular lejos durante un bloque corto de estudio.,¿Quieres que te ayude a dividir una tarea en pasos?,"Si miras todo como una tarea enorme, es normal que cueste empezar.

Recomendación: Pon el celular lejos durante un bloque corto de estudio.

¿Quieres que te ayude a dividir una tarea en pasos?",microtareas,academico,NO,BAJA,Responder y continuar conversación
822,hoy me distraigo mucho cuando estudio,concentracion,apoyo_concentracion,ESTRESADO,BAJA,La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.,Empieza con la parte más fácil para activar el avance.,¿Qué tarea específica necesitas avanzar hoy?,"La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.

Recomendación: Empieza con la parte más fácil para activar el avance.

¿Qué tarea específica necesitas avanzar hoy?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
823,ultimamente me distraigo mucho cuando estudio,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.",Quita distracciones cercanas y deja solo lo necesario para esa tarea.,¿Qué materia estás intentando estudiar?,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.

Recomendación: Quita distracciones cercanas y deja solo lo necesario para esa tarea.

¿Qué materia estás intentando estudiar?",microtareas,academico,NO,BAJA,Responder y continuar conversación
824,me distraigo mucho cuando estudio y necesito ayuda,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.,"Haz una lista breve: primero leer, luego subrayar, después resumir.",¿Cuánto tiempo puedes concentrarte antes de distraerte?,"Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.

Recomendación: Haz una lista breve: primero leer, luego subrayar, después resumir.

¿Cuánto tiempo puedes concentrarte antes de distraerte?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
825,me distraigo mucho cuando estudio puedes ayudarme,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Concentrarse puede ser difícil cuando hay presión o distracciones constantes.,Usa descansos cortos para no saturarte.,¿Te cuesta empezar o te cuesta mantener la concentración?,"Concentrarse puede ser difícil cuando hay presión o distracciones constantes.

Recomendación: Usa descansos cortos para no saturarte.

¿Te cuesta empezar o te cuesta mantener la concentración?",microtareas,academico,NO,BAJA,Responder y continuar conversación
826,me distraigo mucho en clases,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.,Pon el celular lejos durante un bloque corto de estudio.,¿Quieres que te ayude a dividir una tarea en pasos?,"Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.

Recomendación: Pon el celular lejos durante un bloque corto de estudio.

¿Quieres que te ayude a dividir una tarea en pasos?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
827,hoy me distraigo mucho en clases,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"Si miras todo como una tarea enorme, es normal que cueste empezar.",Empieza con la parte más fácil para activar el avance.,¿Qué tarea específica necesitas avanzar hoy?,"Si miras todo como una tarea enorme, es normal que cueste empezar.

Recomendación: Empieza con la parte más fácil para activar el avance.

¿Qué tarea específica necesitas avanzar hoy?",microtareas,academico,NO,BAJA,Responder y continuar conversación
828,ultimamente me distraigo mucho en clases,concentracion,apoyo_concentracion,ESTRESADO,BAJA,La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.,Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.,"¿Qué te distrae más: celular, ruido, pensamientos o cansancio?","La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.

Recomendación: Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.

¿Qué te distrae más: celular, ruido, pensamientos o cansancio?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
829,me distraigo mucho en clases y necesito ayuda,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.","Haz una lista breve: primero leer, luego subrayar, después resumir.",¿Cuánto tiempo puedes concentrarte antes de distraerte?,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.

Recomendación: Haz una lista breve: primero leer, luego subrayar, después resumir.

¿Cuánto tiempo puedes concentrarte antes de distraerte?",microtareas,academico,NO,BAJA,Responder y continuar conversación
830,me distraigo mucho en clases puedes ayudarme,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.,Usa descansos cortos para no saturarte.,¿Te cuesta empezar o te cuesta mantener la concentración?,"Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.

Recomendación: Usa descansos cortos para no saturarte.

¿Te cuesta empezar o te cuesta mantener la concentración?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
831,me distraigo mucho por el celular,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Concentrarse puede ser difícil cuando hay presión o distracciones constantes.,Pon el celular lejos durante un bloque corto de estudio.,¿Qué materia estás intentando estudiar?,"Concentrarse puede ser difícil cuando hay presión o distracciones constantes.

Recomendación: Pon el celular lejos durante un bloque corto de estudio.

¿Qué materia estás intentando estudiar?",microtareas,academico,NO,BAJA,Responder y continuar conversación
832,hoy me distraigo mucho por el celular,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.,Empieza con la parte más fácil para activar el avance.,¿Qué tarea específica necesitas avanzar hoy?,"Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.

Recomendación: Empieza con la parte más fácil para activar el avance.

¿Qué tarea específica necesitas avanzar hoy?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
833,ultimamente me distraigo mucho por el celular,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"Si miras todo como una tarea enorme, es normal que cueste empezar.",Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.,"¿Qué te distrae más: celular, ruido, pensamientos o cansancio?","Si miras todo como una tarea enorme, es normal que cueste empezar.

Recomendación: Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.

¿Qué te distrae más: celular, ruido, pensamientos o cansancio?",microtareas,academico,NO,BAJA,Responder y continuar conversación
834,me distraigo mucho por el celular y necesito ayuda,concentracion,apoyo_concentracion,ESTRESADO,BAJA,La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.,Quita distracciones cercanas y deja solo lo necesario para esa tarea.,¿Quieres que te ayude a dividir una tarea en pasos?,"La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.

Recomendación: Quita distracciones cercanas y deja solo lo necesario para esa tarea.

¿Quieres que te ayude a dividir una tarea en pasos?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
835,me distraigo mucho por el celular puedes ayudarme,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.",Usa descansos cortos para no saturarte.,¿Te cuesta empezar o te cuesta mantener la concentración?,"A veces la falta de concentración aparece cuando hay cansancio, preocupación o demasiadas cosas a la vez.

Recomendación: Usa descansos cortos para no saturarte.

¿Te cuesta empezar o te cuesta mantener la concentración?",microtareas,academico,NO,BAJA,Responder y continuar conversación
836,me distraigo mucho porque pienso en muchas cosas,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.,Pon el celular lejos durante un bloque corto de estudio.,¿Qué materia estás intentando estudiar?,"Entiendo. No siempre es flojera; a veces la mente necesita orden y pausas.

Recomendación: Pon el celular lejos durante un bloque corto de estudio.

¿Qué materia estás intentando estudiar?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
837,hoy me distraigo mucho porque pienso en muchas cosas,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Concentrarse puede ser difícil cuando hay presión o distracciones constantes.,Empieza con la parte más fácil para activar el avance.,¿Cuánto tiempo puedes concentrarte antes de distraerte?,"Concentrarse puede ser difícil cuando hay presión o distracciones constantes.

Recomendación: Empieza con la parte más fácil para activar el avance.

¿Cuánto tiempo puedes concentrarte antes de distraerte?",microtareas,academico,NO,BAJA,Responder y continuar conversación
838,ultimamente me distraigo mucho porque pienso en muchas cosas,concentracion,apoyo_concentracion,ESTRESADO,BAJA,Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.,Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.,"¿Qué te distrae más: celular, ruido, pensamientos o cansancio?","Podemos hacerlo más manejable dividiendo el estudio en partes pequeñas.

Recomendación: Elige una sola tarea y trabaja 15 minutos sin cambiar de actividad.

¿Qué te distrae más: celular, ruido, pensamientos o cansancio?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
839,me distraigo mucho porque pienso en muchas cosas y necesito ayuda,concentracion,apoyo_concentracion,ESTRESADO,BAJA,"Si miras todo como una tarea enorme, es normal que cueste empezar.",Quita distracciones cercanas y deja solo lo necesario para esa tarea.,¿Quieres que te ayude a dividir una tarea en pasos?,"Si miras todo como una tarea enorme, es normal que cueste empezar.

Recomendación: Quita distracciones cercanas y deja solo lo necesario para esa tarea.

¿Quieres que te ayude a dividir una tarea en pasos?",microtareas,academico,NO,BAJA,Responder y continuar conversación
840,me distraigo mucho porque pienso en muchas cosas puedes ayudarme,concentracion,apoyo_concentracion,ESTRESADO,BAJA,La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.,"Haz una lista breve: primero leer, luego subrayar, después resumir.",¿Qué tarea específica necesitas avanzar hoy?,"La concentración se puede recuperar mejor con pasos pequeños que con exigirte demasiado.

Recomendación: Haz una lista breve: primero leer, luego subrayar, después resumir.

¿Qué tarea específica necesitas avanzar hoy?",control_distracciones,habitos,NO,BAJA,Responder y continuar conversación
841,tengo miedo al examen,examen,apoyo_examen,ANSIOSO,MEDIA,Es normal sentir nervios antes de un examen. Eso no significa que te irá mal automáticamente.,Repasa primero los temas más probables y luego practica con ejemplos.,¿De qué materia es el examen?,"Es normal sentir nervios antes de un examen. Eso no significa que te irá mal automáticamente.

Recomendación: Repasa primero los temas más probables y luego practica con ejemplos.

¿De qué materia es el examen?",plan_estudio,academico,NO,MEDIA,Registrar análisis emocional
842,hoy tengo miedo al examen,examen,apoyo_examen,ANSIOSO,MEDIA,Entiendo la presión. Podemos enfocarnos en lo que sí puedes hacer antes de la prueba.,Haz un resumen corto por tema y evita estudiar sin descanso hasta agotarte.,¿Cuánto tiempo tienes para repasar?,"Entiendo la presión. Podemos enfocarnos en lo que sí puedes hacer antes de la prueba.

Recomendación: Haz un resumen corto por tema y evita estudiar sin descanso hasta agotarte.

¿Cuánto tiempo tienes para repasar?",manejo_bloqueo,evaluacion,NO,MEDIA,Registrar análisis emocional
843,ultimamente tengo miedo al examen,examen,apoyo_examen,ANSIOSO,MEDIA,El miedo al examen suele crecer cuando pensamos en todo a la vez.,"Antes del examen, respira lento y lee cada pregunta con calma.",¿Te bloqueas antes o durante el examen?,"El miedo al examen suele crecer cuando pensamos en todo a la vez.

Recomendación: Antes del examen, respira lento y lee cada pregunta con calma.

¿Te bloqueas antes o durante el examen?",plan_estudio,academico,NO,MEDIA,Registrar análisis emocional
844,tengo miedo al examen y necesito ayuda,examen,apoyo_examen,ANSIOSO,MEDIA,Respira. Todavía puedes organizar un repaso útil sin castigarte.,"Si te bloqueas, pasa a otra pregunta y vuelve después.",¿Qué tema te preocupa más?,"Respira. Todavía puedes organizar un repaso útil sin castigarte.

Recomendación: Si te bloqueas, pasa a otra pregunta y vuelve después.

¿Qué tema te preocupa más?",manejo_bloqueo,evaluacion,NO,MEDIA,Registrar análisis emocional
845,tengo miedo al examen puedes ayudarme,examen,apoyo_examen,ANSIOSO,MEDIA,La ansiedad antes de una prueba no significa falta de capacidad; significa que te importa.,Divide el tiempo de repaso en bloques cortos y empieza por lo que más vale puntos.,¿Quieres que te ayude a organizar un plan rápido de estudio?,"La ansiedad antes de una prueba no significa falta de capacidad; significa que te importa.

Recomendación: Divide el tiempo de repaso en bloques cortos y empieza por lo que más vale puntos.

¿Quieres que te ayude a organizar un plan rápido de estudio?",plan_estudio,academico,NO,MEDIA,Registrar análisis emocional
846,tengo miedo al examen mañana,examen,apoyo_examen,ANSIOSO,MEDIA,"Si te bloqueas, conviene tener un plan simple para recuperar calma.",Duerme lo mejor posible; estudiar agotado puede empeorar el bloqueo.,¿Qué parte ya entiendes y cuál te falta repasar?,"Si te bloqueas, conviene tener un plan simple para recuperar calma.

Recomendación: Duerme lo mejor posible; estudiar agotado puede empeorar el bloqueo.

¿Qué parte ya entiendes y cuál te falta repasar?",manejo_bloqueo,evaluacion,NO,MEDIA,Registrar análisis emocional
847,hoy tengo miedo al examen mañana,examen,apoyo_examen,ANSIOSO,MEDIA,Es normal sentir nervios antes de un examen. Eso no significa que te irá mal automáticamente.,Haz un resumen corto por tema y evita estudiar sin descanso hasta agotarte.,¿Cuánto tiempo tienes para repasar?,"Es normal sentir nervios antes de un examen. Eso no significa que te irá mal automáticamente.

Recomendación: Haz un resumen corto por tema y evita estudiar sin descanso hasta agotarte.

¿Cuánto tiempo tienes para repasar?",plan_estudio,academico,NO,MEDIA,Registrar análisis emocional
848,ultimamente tengo miedo al examen mañana,examen,apoyo_examen,ANSIOSO,MEDIA,Entiendo la presión. Podemos enfocarnos en lo que sí puedes hacer antes de la prueba.,"Antes del examen, respira lento y lee cada pregunta con calma.",¿Te bloqueas antes o durante el examen?,"Entiendo la presión. Podemos enfocarnos en lo que sí puedes hacer antes de la prueba.

Recomendación: Antes del examen, respira lento y lee cada pregunta con calma.

¿Te bloqueas antes o durante el examen?",manejo_bloqueo,evaluacion,NO,MEDIA,Registrar análisis emocional
849,tengo miedo al examen mañana y necesito ayuda,examen,apoyo_examen,ANSIOSO,MEDIA,El miedo al examen suele crecer cuando pensamos en todo a la vez.,"Si te bloqueas, pasa a otra pregunta y vuelve después.",¿De qué materia es el examen?,"El miedo al examen suele crecer cuando pensamos en todo a la vez.

Recomendación: Si te bloqueas, pasa a otra pregunta y vuelve después.

¿De qué materia es el examen?",plan_estudio,academico,NO,MEDIA,Registrar análisis emocional
850,tengo miedo al examen mañana puedes ayudarme,examen,apoyo_examen,ANSIOSO,MEDIA,Respira. Todavía puedes organizar un repaso útil sin castigarte.,Divide el tiempo de repaso en bloques cortos y empieza por lo que más vale puntos.,¿Quieres que te ayude a organizar un plan rápido de estudio?,"Respira. Todavía puedes organizar un repaso útil sin castigarte.

Recomendación: Divide el tiempo de repaso en bloques cortos y empieza por lo que más vale puntos.

¿Quieres que te ayude a organizar un plan rápido de estudio?",manejo_bloqueo,evaluacion,NO,MEDIA,Registrar análisis emocional
851,tengo miedo al examen hoy,examen,apoyo_examen,ANSIOSO,MEDIA,La ansiedad antes de una prueba no significa falta de capacidad; significa que te importa.,Duerme lo mejor posible; estudiar agotado puede empeorar el bloqueo.,¿Qué parte ya entiendes y cuál te falta repasar?,"La ansiedad antes de una prueba no significa falta de capacidad; significa que te importa.

Recomendación: Duerme lo mejor posible; estudiar agotado puede empeorar el bloqueo.

¿Qué parte ya entiendes y cuál te falta repasar?",plan_estudio,academico,NO,MEDIA,Registrar análisis emocional
852,hoy tengo miedo al examen hoy,examen,apoyo_examen,ANSIOSO,MEDIA,"Si te bloqueas, conviene tener un plan simple para recuperar calma.",Repasa primero los temas más probables y luego practica con ejemplos.,¿Qué tema te preocupa más?,"Si te bloqueas, conviene tener un plan simple para recuperar calma.

Recomendación: Repasa primero los temas más probables y luego practica con ejemplos.

¿Qué tema te preocupa más?",manejo_bloqueo,evaluacion,NO,MEDIA,Registrar análisis emocional
853,ultimamente tengo miedo al examen hoy,examen,apoyo_examen,ANSIOSO,MEDIA,Es normal sentir nervios antes de un examen. Eso no significa que te irá mal automáticamente.,"Antes del examen, respira lento y lee cada pregunta con calma.",¿Te bloqueas antes o durante el examen?,"Es normal sentir nervios antes de un examen. Eso no significa que te irá mal automáticamente.

Recomendación: Antes del examen, respira lento y lee cada pregunta con calma.

¿Te bloqueas antes o durante el examen?",plan_estudio,academico,NO,MEDIA,Registrar análisis emocional
854,tengo miedo al examen hoy y necesito ayuda,examen,apoyo_examen,ANSIOSO,MEDIA,Entiendo la presión. Podemos enfocarnos en lo que sí puedes hacer antes de la prueba.,"Si te bloqueas, pasa a otra pregunta y vuelve después.",¿De qué materia es el examen?,"Entiendo la presión. Podemos enfocarnos en lo que sí puedes hacer antes de la prueba.

Recomendación: Si te bloqueas, pasa a otra pregunta y vuelve después.

¿De qué materia es el examen?",manejo_bloqueo,evaluacion,NO,MEDIA,Registrar análisis emocional
855,tengo miedo al examen hoy puedes ayudarme,examen,apoyo_examen,ANSIOSO,MEDIA,El miedo al examen suele crecer cuando pensamos en todo a la vez.,Divide el tiempo de repaso en bloques cortos y empieza por lo que más vale puntos.,¿Cuánto tiempo tienes para repasar?,"El miedo al examen suele crecer cuando pensamos en todo a la vez.

Recomendación: Divide el tiempo de repaso en bloques cortos y empieza por lo que más vale puntos.

¿Cuánto tiempo tienes para repasar?",plan_estudio,academico,NO,MEDIA,Registrar análisis emocional
